Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
272,James Maddison\James-Maddison,eng ENG,MFFW,Leicester City,24-111,1996,18.1,8,54,18,33.3,2.99,1.00,0.15,0.44,24.2,11,0,0,3.4,3.4,0.06,+4.6,+4.6,Matches
273,Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,28-009,1993,28.0,2,31,9,29.0,1.11,0.32,0.06,0.22,11.1,0,0,0,1.7,1.7,0.06,+0.3,+0.3,Matches
274,Riyad Mahrez\Riyad-Mahrez,dz ALG,FW,Manchester City,30-021,1991,18.1,9,48,18,37.5,2.65,1.00,0.19,0.50,16.4,1,0,0,4.3,4.3,0.09,+4.7,+4.7,Matches
275,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,23-197,1997,5.4,0,2,1,50.0,0.37,0.18,0.00,0.00,20.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
276,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,MF,West Brom,23-197,1997,7.0,0,4,1,25.0,0.57,0.14,0.00,0.00,22.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
277,Josh Maja\Josh-Maja,ng NGA,FW,Fulham,22-077,1998,5.6,2,14,6,42.9,2.50,1.07,0.14,0.33,13.7,0,0,0,3.5,3.5,0.25,-1.5,-1.5,Matches
278,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,28-338,1992,23.1,7,68,26,38.2,2.94,1.13,0.10,0.27,12.6,0,0,0,10.7,10.7,0.16,-3.7,-3.7,Matches
279,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,26-313,1994,8.1,0,1,0,0.0,0.12,0.00,0.00,,22.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
280,Fernando Marçal\Fernando-Marcal,br BRA,DF,Wolves,32-023,1989,6.8,0,2,0,0.0,0.29,0.00,0.00,,25.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
281,Solly March\Solly-March,eng ENG,DF,Brighton,26-237,1994,18.6,2,22,4,18.2,1.18,0.22,0.09,0.50,17.3,1,0,0,1.7,1.7,0.08,+0.3,+0.3,Matches
282,Pablo Marí\Pablo-Mari,es ESP,DF,Arsenal,27-195,1993,6.0,0,2,0,0.0,0.33,0.00,0.00,,21.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
283,Anthony Martial\Anthony-Martial,fr FRA,FW,Manchester Utd,25-099,1995,16.4,4,43,21,48.8,2.61,1.28,0.09,0.19,14.1,0,0,0,6.6,6.6,0.15,-2.6,-2.6,Matches
284,Martinelli\Martinelli,br BRA,FW,Arsenal,19-269,2001,2.3,0,7,2,28.6,3.01,0.86,0.00,0.00,12.7,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matches
285,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Aston Villa,28-193,1992,27.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
286,Arthur Masuaku\Arthur-Masuaku,cd COD,DF,West Ham,27-127,1993,9.4,0,6,2,33.3,0.64,0.21,0.00,0.00,21.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
287,Juan Mata\Juan-Mata,es ESP,FW,Manchester Utd,32-320,1988,3.8,0,4,3,75.0,1.07,0.80,0.00,0.00,17.6,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
288,Jean-Philippe Mateta\Jean-Philippe-Mateta,fr FRA,FW,Crystal Palace,23-259,1997,1.9,1,3,1,33.3,1.59,0.53,0.33,1.00,12.3,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches
289,Nemanja Matić\Nemanja-Matic,rs SRB,MF,Manchester Utd,32-225,1988,10.2,0,6,3,50.0,0.59,0.30,0.00,0.00,21.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
290,Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,29-218,1991,7.7,1,5,2,40.0,0.65,0.26,0.20,0.50,6.8,0,0,0,0.6,0.6,0.13,+0.4,+0.4,Matches
291,Neal Maupay\Neal-Maupay,fr FRA,FWMF,Brighton,24-212,1996,20.8,7,53,18,34.0,2.55,0.87,0.08,0.22,14.4,0,3,4,10.3,7.3,0.14,-3.3,-3.3,Matches
292,James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,33-158,1987,16.3,0,6,0,0.0,0.37,0.00,0.00,,19.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
293,Oliver McBurnie\Oliver-McBurnie,sco SCO,FW,Sheffield Utd,24-283,1996,13.7,1,28,12,42.9,2.05,0.88,0.04,0.08,11.0,0,0,0,3.0,3.0,0.11,-2.0,-2.0,Matches
294,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,31-101,1989,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
295,James McCarthy\James-McCarthy,ie IRL,MF,Crystal Palace,30-122,1990,6.0,0,1,0,0.0,0.17,0.00,0.00,,28.0,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
296,John McGinn\John-McGinn,sco SCO,MF,Aston Villa,26-147,1994,26.0,1,31,6,19.4,1.19,0.23,0.03,0.17,21.1,0,0,0,1.6,1.6,0.05,-0.6,-0.6,Matches
297,David McGoldrick\David-McGoldrick,ie IRL,FWMF,Sheffield Utd,33-105,1987,18.0,6,45,21,46.7,2.50,1.17,0.13,0.29,17.1,0,0,0,4.9,4.9,0.11,+1.1,+1.1,Matches
298,Dwight McNeil\Dwight-McNeil,eng ENG,MF,Burnley,21-112,1999,25.7,2,19,5,26.3,0.74,0.19,0.11,0.40,22.9,1,0,0,0.8,0.8,0.04,+1.2,+1.2,Matches
299,Scott McTominay\Scott-McTominay,sco SCO,MF,Manchester Utd,24-096,1996,16.9,4,17,5,29.4,1.01,0.30,0.24,0.80,17.5,0,0,0,1.1,1.1,0.06,+2.9,+2.9,Matches
300,Ben Mee\Ben-Mee,eng ENG,DF,Burnley,31-172,1989,21.9,2,14,5,35.7,0.64,0.23,0.14,0.40,10.8,0,0,0,1.3,1.3,0.09,+0.7,+0.7,Matches
301,Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,Manchester City,26-240,1994,6.7,1,3,1,33.3,0.45,0.15,0.33,1.00,19.1,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches
302,Edouard Mendy\Edouard-Mendy,sn SEN,GK,Chelsea,29-013,1992,24.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
303,Nampalys Mendy\Nampalys-Mendy,fr FRA,MF,Leicester City,28-264,1992,15.2,0,3,1,33.3,0.20,0.07,0.00,0.00,25.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
304,Illan Meslier\Illan-Meslier,fr FRA,GK,Leeds United,21-012,2000,27.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
305,Luka Milivojević\Luka-Milivojevic,rs SRB,MF,Crystal Palace,29-341,1991,20.6,1,13,4,30.8,0.63,0.19,0.00,0.00,27.3,6,1,1,1.4,0.6,0.05,-0.4,-0.6,Matches
306,James Milner\James-Milner,eng ENG,MFDF,Liverpool,35-069,1986,8.1,0,5,1,20.0,0.62,0.12,0.00,0.00,22.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
